{
1: EpochData(learningRate=1.0, error={
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.1148400000000002e-05,
':meta:epoch_num_train_steps': 232,
':meta:epoch_train_time_secs': 160,
':meta:global_train_step': 695,
':meta:global_train_step_end': 927,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-11-46-52 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.945093034758597,
'dev_loss_ctc_4': 7.131555104427617,
'dev_loss_ctc_8': 7.133265834649947,
'dev_loss_fer': 0.9522508160631595,
'devtrain_loss_ce': 6.9766231501879945,
'devtrain_loss_ctc_4': 7.133780093780098,
'devtrain_loss_ctc_8': 7.140327234337444,
'devtrain_loss_fer': 0.9467287170570386,
'train_loss_ce': 7.097722596408665,
'train_loss_ctc_4': 7.574625400112599,
'train_loss_ctc_8': 7.663305743730094,
'train_loss_fer': 0.954182542939211,
}),
5: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.15312e-05,
':meta:epoch_num_train_steps': 232,
':meta:epoch_train_time_secs': 159,
':meta:global_train_step': 927,
':meta:global_train_step_end': 1159,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-11-50-21 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.9186308672331664,
'dev_loss_ctc_4': 6.940569118058718,
'dev_loss_ctc_8': 6.95944252092348,
'dev_loss_fer': 0.94382448948607,
'devtrain_loss_ce': 6.960117754839163,
'devtrain_loss_ctc_4': 6.976612096396783,
'devtrain_loss_ctc_8': 6.992672788902153,
'devtrain_loss_fer': 0.9352732603729842,
'train_loss_ce': 7.039130915710126,
'train_loss_ctc_4': 7.06989560183997,
'train_loss_ctc_8': 7.093904501385322,
'train_loss_fer': 0.9498577468995112,
}),
6: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.1914000000000001e-05,
':meta:epoch_num_train_steps': 490,
':meta:epoch_train_time_secs': 357,
':meta:global_train_step': 1159,
':meta:global_train_step_end': 1649,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-11-53-50 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.880020752972462,
'dev_loss_ctc_4': 6.86557708742551,
'dev_loss_ctc_8': 6.87967033806128,
'dev_loss_fer': 0.9522204509223412,
'devtrain_loss_ce': 6.919789832969224,
'devtrain_loss_ctc_4': 6.9290506834306065,
'devtrain_loss_ctc_8': 6.938258462376357,
'devtrain_loss_fer': 0.9466008659779755,
'train_loss_ce': 7.0052348868390295,
'train_loss_ctc_4': 6.959508749559146,
'train_loss_ctc_8': 6.969711361441237,
'train_loss_fer': 0.9466459685592314,
}),
7: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.2722499999999999e-05,
':meta:epoch_num_train_steps': 491,
':meta:epoch_train_time_secs': 354,
':meta:global_train_step': 1649,
':meta:global_train_step_end': 2140,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-12-00-36 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.8371854583594285,
'dev_loss_ctc_4': 6.836129313391976,
'dev_loss_ctc_8': 6.8361843427963445,
'dev_loss_fer': 0.9516586958172019,
'devtrain_loss_ce': 6.874235115936957,
'devtrain_loss_ctc_4': 6.904355656531273,
'devtrain_loss_ctc_8': 6.903394359583291,
'devtrain_loss_fer': 0.9459445637721182,
'train_loss_ce': 6.962807451921641,
'train_loss_ctc_4': 6.922618108660439,
'train_loss_ctc_8': 6.923881911998018,
'train_loss_fer': 0.9435108500109336,
}),
8: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.353265e-05,
':meta:epoch_num_train_steps': 491,
':meta:epoch_train_time_secs': 352,
':meta:global_train_step': 2140,
':meta:global_train_step_end': 2631,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-12-07-18 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.774554456796098,
'dev_loss_ctc_4': 6.826734742109808,
'dev_loss_ctc_8': 6.826681239858518,
'dev_loss_fer': 0.9252106581644273,
'devtrain_loss_ce': 6.824890475906997,
'devtrain_loss_ctc_4': 6.901388167229478,
'devtrain_loss_ctc_8': 6.901225015601827,
'devtrain_loss_fer': 0.9321707408543861,
'train_loss_ce': 6.9168003387707895,
'train_loss_ctc_4': 6.917324520056759,
'train_loss_ctc_8': 6.918273472945741,
'train_loss_fer': 0.9389874139246674,
}),
9: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.4342800000000001e-05,
':meta:epoch_num_train_steps': 492,
':meta:epoch_train_time_secs': 350,
':meta:global_train_step': 2631,
':meta:global_train_step_end': 3123,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-12-14-26 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.717524051919646,
'dev_loss_ctc_4': 6.810435541092576,
'dev_loss_ctc_8': 6.810138406031751,
'dev_loss_fer': 0.9133834358156836,
'devtrain_loss_ce': 6.7728974831782605,
'devtrain_loss_ctc_4': 6.880298486656076,
'devtrain_loss_ctc_8': 6.884655598991628,
'devtrain_loss_fer': 0.9293750639255395,
'train_loss_ce': 6.855871032283783,
'train_loss_ctc_4': 6.905593239721674,
'train_loss_ctc_8': 6.907748341743464,
'train_loss_fer': 0.9318517538637917,
}),
10: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.51546e-05,
':meta:epoch_num_train_steps': 491,
':meta:epoch_train_time_secs': 350,
':meta:global_train_step': 3123,
':meta:global_train_step_end': 3614,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-12-21-08 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.657191386085649,
'dev_loss_ctc_4': 6.795278198362655,
'dev_loss_ctc_8': 6.803274720308586,
'dev_loss_fer': 0.9141121991953237,
'devtrain_loss_ce': 6.746544541584629,
'devtrain_loss_ctc_4': 6.866382000745531,
'devtrain_loss_ctc_8': 6.880797255689906,
'devtrain_loss_fer': 0.9350942688622959,
'train_loss_ce': 6.7905675274575135,
'train_loss_ctc_4': 6.890683286097766,
'train_loss_ctc_8': 6.892683168762723,
'train_loss_fer': 0.9228511299201382,
}),
11: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.596475e-05,
':meta:epoch_num_train_steps': 494,
':meta:epoch_train_time_secs': 349,
':meta:global_train_step': 3614,
':meta:global_train_step_end': 4108,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-12-27-47 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.597844542043859,
'dev_loss_ctc_4': 6.7950715137615765,
'dev_loss_ctc_8': 6.797711716792872,
'dev_loss_fer': 0.9098003491991195,
'devtrain_loss_ce': 6.636488052050305,
'devtrain_loss_ctc_4': 6.867581245531871,
'devtrain_loss_ctc_8': 6.873893472216895,
'devtrain_loss_fer': 0.9149023217755958,
'train_loss_ce': 6.722854560251692,
'train_loss_ctc_4': 6.8728948695459104,
'train_loss_ctc_8': 6.875221763761942,
'train_loss_fer': 0.9168795722663747,
}),
12: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.677985e-05,
':meta:epoch_num_train_steps': 492,
':meta:epoch_train_time_secs': 347,
':meta:global_train_step': 4108,
':meta:global_train_step_end': 4600,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-12-34-25 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.511905967106013,
'dev_loss_ctc_4': 6.7506438803566,
'dev_loss_ctc_8': 6.760641684518048,
'dev_loss_fer': 0.9022242465649435,
'devtrain_loss_ce': 6.596653988267799,
'devtrain_loss_ctc_4': 6.818119991334094,
'devtrain_loss_ctc_8': 6.83267085498811,
'devtrain_loss_fer': 0.9237496164467628,
'train_loss_ce': 6.65741172463129,
'train_loss_ctc_4': 6.859138423206005,
'train_loss_ctc_8': 6.862752560261979,
'train_loss_fer': 0.9121538813831005,
}),
13: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.759165e-05,
':meta:epoch_num_train_steps': 491,
':meta:epoch_train_time_secs': 344,
':meta:global_train_step': 4600,
':meta:global_train_step_end': 5091,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-12-41-01 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.4470007010077435,
'dev_loss_ctc_4': 6.721007658598554,
'dev_loss_ctc_8': 6.735076689772641,
'dev_loss_fer': 0.8987474379412435,
'devtrain_loss_ce': 6.53364020339109,
'devtrain_loss_ctc_4': 6.7859671970755135,
'devtrain_loss_ctc_8': 6.804043346143745,
'devtrain_loss_fer': 0.9183202072892162,
'train_loss_ce': 6.5914000549456455,
'train_loss_ctc_4': 6.828030878018874,
'train_loss_ctc_8': 6.8358766824303006,
'train_loss_fer': 0.9105754933455714,
}),
14: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.84018e-05,
':meta:epoch_num_train_steps': 492,
':meta:epoch_train_time_secs': 354,
':meta:global_train_step': 5091,
':meta:global_train_step_end': 5583,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-12-47-36 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.453411222588343,
'dev_loss_ctc_4': 6.683498629120645,
'dev_loss_ctc_8': 6.705719907374459,
'dev_loss_fer': 0.9108175814165338,
'devtrain_loss_ce': 6.459098870801957,
'devtrain_loss_ctc_4': 6.751064331100467,
'devtrain_loss_ctc_8': 6.780342536180523,
'devtrain_loss_fer': 0.9044014864818792,
'train_loss_ce': 6.526187123769351,
'train_loss_ctc_4': 6.796674343131452,
'train_loss_ctc_8': 6.804900826933615,
'train_loss_fer': 0.9072415121333847,
}),
15: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.9213600000000002e-05,
':meta:epoch_num_train_steps': 494,
':meta:epoch_train_time_secs': 357,
':meta:global_train_step': 5583,
':meta:global_train_step_end': 6077,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-12-54-20 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.404876481486753,
'dev_loss_ctc_4': 6.638068827454832,
'dev_loss_ctc_8': 6.649627189314792,
'dev_loss_fer': 0.9047293706824565,
'devtrain_loss_ce': 6.4190776125635525,
'devtrain_loss_ctc_4': 6.703038746301641,
'devtrain_loss_ctc_8': 6.718436065670707,
'devtrain_loss_fer': 0.9023132521905152,
'train_loss_ce': 6.484330203744423,
'train_loss_ctc_4': 6.763239615262686,
'train_loss_ctc_8': 6.774266650600661,
'train_loss_fer': 0.9043695567921728,
}),
16: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 2.00287e-05,
':meta:epoch_num_train_steps': 493,
':meta:epoch_train_time_secs': 356,
':meta:global_train_step': 6077,
':meta:global_train_step_end': 6570,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-13-01-05 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.385710940168811,
'dev_loss_ctc_4': 6.567697050192629,
'dev_loss_ctc_8': 6.614998844997817,
'dev_loss_fer': 0.9085401958551583,
'devtrain_loss_ce': 6.379339620210379,
'devtrain_loss_ctc_4': 6.630797863315477,
'devtrain_loss_ctc_8': 6.685377035329249,
'devtrain_loss_fer': 0.9023388224063278,
'train_loss_ce': 6.451961854050279,
'train_loss_ctc_4': 6.722735140225241,
'train_loss_ctc_8': 6.741185391321604,
'train_loss_fer': 0.9036739411619011,
}),
17: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 2.0842150000000002e-05,
':meta:epoch_num_train_steps': 496,
':meta:epoch_train_time_secs': 357,
':meta:global_train_step': 6570,
':meta:global_train_step_end': 7066,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-13-07-50 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.308826225696026,
'dev_loss_ctc_4': 6.433916609435493,
'dev_loss_ctc_8': 6.498744146407424,
'dev_loss_fer': 0.8979883094207849,
'devtrain_loss_ce': 6.3382266960444476,
'devtrain_loss_ctc_4': 6.485867195224336,
'devtrain_loss_ctc_8': 6.56599899520372,
'devtrain_loss_fer': 0.9001142136306297,
'train_loss_ce': 6.409830942383186,
'train_loss_ctc_4': 6.638171767350271,
'train_loss_ctc_8': 6.681326496571436,
'train_loss_fer': 0.9013216629559044,
}),
18: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 2.166055e-05,
':meta:epoch_num_train_steps': 493,
':meta:epoch_train_time_secs': 355,
':meta:global_train_step': 7066,
':meta:global_train_step_end': 7559,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-13-14-36 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.288433713253435,
'dev_loss_ctc_4': 6.258994731470147,
'dev_loss_ctc_8': 6.3333828842613675,
'dev_loss_fer': 0.8966066955135504,
'devtrain_loss_ce': 6.305043410435525,
'devtrain_loss_ctc_4': 6.300185739483982,
'devtrain_loss_ctc_8': 6.387689652426188,
'devtrain_loss_fer': 0.8960400259111521,
'train_loss_ce': 6.379924991374719,
'train_loss_ctc_4': 6.515398761529602,
'train_loss_ctc_8': 6.575953320321448,
'train_loss_fer': 0.899123184754226,
}),
19: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 2.2474000000000002e-05,
':meta:epoch_num_train_steps': 493,
':meta:epoch_train_time_secs': 355,
':meta:global_train_step': 7559,
':meta:global_train_step_end': 8052,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-13-21-19 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.279115670132563,
'dev_loss_ctc_4': 6.057969018363793,
'dev_loss_ctc_8': 6.124423803660897,
'dev_loss_fer': 0.9016169437485766,
'devtrain_loss_ce': 6.264401254585326,
'devtrain_loss_ctc_4': 6.085683991120476,
'devtrain_loss_ctc_8': 6.164268276977643,
'devtrain_loss_fer': 0.8942586342095394,
'train_loss_ce': 6.337469462082411,
'train_loss_ctc_4': 6.34835717867312,
'train_loss_ctc_8': 6.408471468917007,
'train_loss_fer': 0.8967298361256065,
}),
20: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 2.328745e-05,
':meta:epoch_num_train_steps': 495,
':meta:epoch_train_time_secs': 359,
':meta:global_train_step': 8052,
':meta:global_train_step_end': 8547,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-13-28-15 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.273718184805094,
'dev_loss_ctc_4': 5.857680979501158,
'dev_loss_ctc_8': 5.888303097185057,
'dev_loss_fer': 0.9028619145221286,
'devtrain_loss_ce': 6.235038993247332,
'devtrain_loss_ctc_4': 5.869075584092982,
'devtrain_loss_ctc_8': 5.902054014567166,
'devtrain_loss_fer': 0.8914288636596093,
'train_loss_ce': 6.302531753149643,
'train_loss_ctc_4': 6.168364255504491,
'train_loss_ctc_8': 6.215291145618513,
'train_loss_fer': 0.8943696287360454,
}),
21: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 2.4104200000000002e-05,
':meta:epoch_num_train_steps': 489,
':meta:epoch_train_time_secs': 352,
':meta:global_train_step': 8547,
':meta:global_train_step_end': 9036,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-13-35-18 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.154313458696292,
'dev_loss_ctc_4': 5.669707591700353,
'dev_loss_ctc_8': 5.684531436816784,
'dev_loss_fer': 0.8820769756319745,
'devtrain_loss_ce': 6.1969609611224845,
'devtrain_loss_ctc_4': 5.66550902758467,
'devtrain_loss_ctc_8': 5.6785143498186645,
'devtrain_loss_fer': 0.8898690804950394,
'train_loss_ce': 6.268490228858432,
'train_loss_ctc_4': 5.993560903386815,
'train_loss_ctc_8': 6.013092544203883,
'train_loss_fer': 0.891763896898984,
}),
22: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 2.4911050000000003e-05,
':meta:epoch_num_train_steps': 492,
':meta:epoch_train_time_secs': 354,
':meta:global_train_step': 9036,
':meta:global_train_step_end': 9528,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-13-42-15 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.1209090830913615,
'dev_loss_ctc_4': 5.499424886012108,
'dev_loss_ctc_8': 5.4885621423792985,
'dev_loss_fer': 0.8792378349654596,
'devtrain_loss_ce': 6.200041749703279,
'devtrain_loss_ctc_4': 5.4838871037182555,
'devtrain_loss_ctc_8': 5.472842664114839,
